"","dyadID","avg_grbs_A","avg_grbs_P","avg_housework_female_A","avg_housework_female_P","avg_housework_male_A","avg_housework_male_P","genderE_A","genderE_P","housework_fair_A","housework_fair_P","housework_satisfied_A","housework_satisfied_P","partnum2_A","partnum2_P","religion_A","religion_P"
"132",29237405,"2.8",NA,"68",NA,"40",NA,"1",NA,"3",NA,"4",NA,"2",NA,"Christianity",NA
"133",29251840,"3.1","2.25","50","82","70","80","0","1","3","4","3","1","1","1","Prefer not to answer","Christianity"
"134",29251840,"2.25","3.1","82","50","80","70","1","0","4","3","1","3","2","2","Christianity","Prefer not to answer"
"135",29258147,"2.75","2","35.5555555555556","82.2222222222222","95","30","0","1","3","3","4","5","1","1","Christianity","Christianity"
"136",29258147,"2","2.75","82.2222222222222","35.5555555555556","30","95","1","0","3","3","5","4","2","2","Christianity","Christianity"
"137",29273612,"3.35","2.55","28","86","85","60","0","1","1","1","5","1","1","1","Christianity","Christianity"
"138",29273612,"2.55","3.35","86","28","60","85","1","0","1","1","1","5","2","2","Christianity","Christianity"
"139",29273822,"4.15","3.75","46.6666666666667","68","45","85","0","1","4","3","2","4","1","1","Buddhism","Buddhism"
"140",29273822,"3.75","4.15","68","46.6666666666667","85","45","1","0","3","4","4","2","2","2","Buddhism","Buddhism"
"141",29275282,"1.95","1.4","76","70","90","50","0","1","4","3","3","4","1","1","Athiest","Athiest"
"142",29275282,"1.4","1.95","70","76","50","90","1","0","3","4","4","3","2","2","Athiest","Athiest"
"143",29276238,"3.25","3.2","70","54","80","55","0","1","2","2","5","4","1","1","Christianity","Christianity"
"144",29276238,"3.2","3.25","54","70","55","80","1","0","2","2","4","5","2","2","Christianity","Christianity"
"145",29281726,"2.95","2.9","60","64","95","35","0","1","3","3","4","3","1","1","Christianity","Christianity"
"146",29281726,"2.9","2.95","64","60","35","95","1","0","3","3","3","4","2","2","Christianity","Christianity"
"147",29291479,"3","1.75","28","88","100","35","0","1","1","3","5","4","1","1","Christianity","Christianity"
"148",29291479,"1.75","3","88","28","35","100","1","0","3","1","4","5","2","2","Christianity","Christianity"
"149",29302703,"4.3","4.2","52","93.3333333333333","95","65","0","1","3","4","4","2","1","1","Christianity","Christianity"
"150",29302703,"4.2","4.3","93.3333333333333","52","65","95","1","0","4","3","2","4","2","2","Christianity","Christianity"
"151",29319965,"3.3","2.05","34","94","90","50","0","1","3","4","4","2","1","1","Christianity","Christianity"
"152",29319965,"2.05","3.3","94","34","50","90","1","0","4","3","2","4","2","2","Christianity","Christianity"
"153",29322606,"2.65","1.55","26.6666666666667","84.4444444444444","100","20","0","1","3","3","5","5","1","1","Christianity","Christianity"
"154",29322606,"1.55","2.65","84.4444444444444","26.6666666666667","20","100","1","0","3","3","5","5","2","2","Christianity","Christianity"
"155",29346027,"2.2","1.8","55.5555555555556","73.3333333333333","90","40","0","1","3","3","5","4","1","1","Agnostic","Agnostic"
"156",29346027,"1.8","2.2","73.3333333333333","55.5555555555556","40","90","1","0","3","3","4","5","2","2","Agnostic","Agnostic"
"157",29356648,"2.9","2.7","56","64","100","20","0","1","3","3","4","5","1","1","Christianity","Christianity"
"158",29356648,"2.7","2.9","64","56","20","100","1","0","3","3","5","4","2","2","Christianity","Christianity"
"159",29358468,"1.65","2.45","42","90","90","60","0","1","3","3","5","4","1","1","Other","Other"
"160",29358468,"2.45","1.65","90","42","60","90","1","0","3","3","4","5","2","2","Other","Other"
"161",29398891,"1.4","1.15","42.2222222222222","73.3333333333333","90","20","0","1","1","4","2","4","1","1","Athiest","Athiest"
"162",29398891,"1.15","1.4","73.3333333333333","42.2222222222222","20","90","1","0","4","1","4","2","2","2","Athiest","Athiest"
"163",29434095,"3","1.6","60","64","75","45","0","1","3","1","4","5","1","1","Christianity","Christianity"
"164",29434095,"1.6","3","64","60","45","75","1","0","1","3","5","4","2","2","Christianity","Christianity"
"165",29459354,"3","2.85","44","84","40","80","0","1","3","3","4","5","1","1","Christianity","Christianity"
"166",29459354,"2.85","3","84","44","80","40","1","0","3","3","5","4","2","2","Christianity","Christianity"
"167",29469928,"3.35","1.95","37.7777777777778","95.5555555555556","93.3333333333333","73.3333333333333","0","1","4","4","2","2","1","1","Christianity","Christianity"
"168",29469928,"1.95","3.35","95.5555555555556","37.7777777777778","73.3333333333333","93.3333333333333","1","0","4","4","2","2","2","2","Christianity","Christianity"
"169",29472035,"3.5","2.35","48.8888888888889","84.4444444444444","85","60","0","1","3","5","4","2","1","1","Christianity","Agnostic"
"170",29472035,"2.35","3.5","84.4444444444444","48.8888888888889","60","85","1","0","5","3","2","4","2","2","Agnostic","Christianity"
"171",29486374,"3",NA,"60",NA,"60",NA,"0",NA,"3",NA,"3",NA,"1",NA,"Christianity",NA
"172",29486374,NA,"3",NA,"60",NA,"60",NA,"0",NA,"3",NA,"3",NA,"2",NA,"Christianity"
"173",29493026,"2.1","1.9","42.2222222222222","80","90","35","0","1","3","4","4","2","1","1","Hinduism","Hinduism"
"174",29493026,"1.9","2.1","80","42.2222222222222","35","90","1","0","4","3","2","4","2","2","Hinduism","Hinduism"
"175",29508533,"3","3.1","42","88.8888888888889","40","40","0","1","3",NA,"5","3","1","1","Other","Prefer not to answer"
"176",29508533,"3.1","3","88.8888888888889","42","40","40","1","0",NA,"3","3","5","2","2","Prefer not to answer","Other"
"177",29526900,"2.6","2.8","31.1111111111111","91.1111111111111","90","30","0","1","2","3","3","4","1","1","Christianity","Christianity"
"178",29526900,"2.8","2.6","91.1111111111111","31.1111111111111","30","90","1","0","3","2","4","3","2","2","Christianity","Christianity"
"179",29532872,"1.8","1.2","55.5555555555556","82.2222222222222","60","65","0","1","3","3","3","4","1","1","Athiest","Athiest"
"180",29532872,"1.2","1.8","82.2222222222222","55.5555555555556","65","60","1","0","3","3","4","3","2","2","Athiest","Athiest"
"181",29536578,"4","4","32","82","85","55","0","1","3","3","3","3","1","1","Christianity","Christianity"
"182",29536578,"4","4","82","32","55","85","1","0","3","3","3","3","2","2","Christianity","Christianity"
"183",29559028,"2.9","3.2","54","84","55","80","0","1","3","3","3","4","1","1","Christianity","Christianity"
"184",29559028,"3.2","2.9","84","54","80","55","1","0","3","3","4","3","2","2","Christianity","Christianity"
"185",29577345,NA,"3.7",NA,"75",NA,"30",NA,"1",NA,"3",NA,"3",NA,"1",NA,"Christianity"
"186",29577345,"3.7",NA,"75",NA,"30",NA,"1",NA,"3",NA,"3",NA,"2",NA,"Christianity",NA
"187",29579556,"3.6",NA,"44",NA,"100",NA,"0",NA,"1",NA,"5",NA,"1",NA,"Christianity",NA
"188",29579556,NA,"3.6",NA,"44",NA,"100",NA,"0",NA,"1",NA,"5",NA,"2",NA,"Christianity"
"189",29597452,"3.7","2.65","26","92","75","55","0","1","4","4","2","2","1","1","Christianity","Christianity"
"190",29597452,"2.65","3.7","92","26","55","75","1","0","4","4","2","2","2","2","Christianity","Christianity"
"191",29601472,"3.3","3","24.4444444444444","97.7777777777778","60","35","0","1","3","2","3","4","1","1","Christianity","Other"
"192",29601472,"3","3.3","97.7777777777778","24.4444444444444","35","60","1","0","2","3","4","3","2","2","Other","Christianity"
"193",29622262,"3.3","2.5","24","96","60","50","0","1","1","4","4","2","1","1","Christianity","Christianity"
"194",29622262,"2.5","3.3","96","24","50","60","1","0","4","1","2","4","2","2","Christianity","Christianity"
"195",29636672,"2.95","2.2","46.6666666666667","71.1111111111111","100","20","0","1","3","3","4","5","1","1","Christianity","Christianity"
"196",29636672,"2.2","2.95","71.1111111111111","46.6666666666667","20","100","1","0","3","3","5","4","2","2","Christianity","Christianity"
"197",29647555,"2.55","2","20","100","50","70","0","1","3","4","4","3","1","1","Christianity","Christianity"
"198",29647555,"2","2.55","100","20","70","50","1","0","4","3","3","4","2","2","Christianity","Christianity"
"199",29648648,"2","2.55","32","88","90","35","0","1","3","3","3","3","1","1","Christianity","Christianity"
"200",29648648,"2.55","2","88","32","35","90","1","0","3","3","3","3","2","2","Christianity","Christianity"
"201",29650679,"1.85","2.65","30","66","70","55","0","1","3","4","5","4","1","1","Prefer not to answer","Other"
"202",29650679,"2.65","1.85","66","30","55","70","1","0","4","3","4","5","2","2","Other","Prefer not to answer"
"203",29655905,"3.3","3.35","94","56","90","50","0","1","3","3","5","5","1","1","Christianity","Christianity"
"204",29655905,"3.35","3.3","56","94","50","90","1","0","3","3","5","5","2","2","Christianity","Christianity"
"205",29670187,"4.1","3.5","58","70","40","40","0","1","1","2","5","5","1","1","Christianity","Christianity"
"206",29670187,"3.5","4.1","70","58","40","40","1","0","2","1","5","5","2","2","Christianity","Christianity"
"207",29675494,"1.85","2.1","38","86","70","65","0","1","3","3","4","4","1","1","Judaism","Judaism"
"208",29675494,"2.1","1.85","86","38","65","70","1","0","3","3","4","4","2","2","Judaism","Judaism"
"209",29676367,"3.25","3.85","62","68","100","20","0","1","4","1","2","5","1","1","Judaism","Christianity"
"210",29676367,"3.85","3.25","68","62","20","100","1","0","1","4","5","2","2","2","Christianity","Judaism"
"211",29711478,"3.55","3.9","82","42.2222222222222","75","20","0","1","3","3","5","5","1","1","Christianity","Christianity"
